NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
105,507.37142857142857,521.0,0.2,0.05,0.8,-NA-
106,507.5188679245283,523.0,0.2,0.05,0.8,-NA-
107,507.68224299065423,525.0,0.2,0.05,0.8,-NA-
108,507.8796296296296,529.0,0.2,0.05,0.8,-NA-
109,508.0550458715596,527.0,0.2,0.05,0.8,-NA-
110,508.2090909090909,525.0,0.2,0.05,0.8,-NA-
111,508.36036036036035,525.0,0.2,0.05,0.8,-NA-
112,508.54464285714283,529.0,0.2,0.05,0.8,-NA-
113,508.7079646017699,527.0,0.2,0.05,0.8,-NA-
114,508.86842105263156,527.0,0.2,0.05,0.8,-NA-
115,509.02608695652174,527.0,0.2,0.05,0.8,-NA-
116,509.19827586206895,529.0,0.2,0.05,0.8,-NA-
117,509.3333333333333,525.0,0.2,0.05,0.8,-NA-
118,509.4830508474576,527.0,0.2,0.05,0.8,-NA-
119,509.6302521008403,527.0,0.2,0.05,0.8,-NA-
120,509.775,527.0,0.2,0.05,0.8,-NA-
121,509.93388429752065,529.0,0.2,0.05,0.8,-NA-
122,510.09016393442624,529.0,0.2,0.05,0.8,-NA-
123,510.2113821138211,525.0,0.2,0.05,0.8,-NA-
124,510.3467741935484,527.0,0.2,0.05,0.8,-NA-
125,510.464,525.0,0.2,0.05,0.8,-NA-
126,510.57936507936506,525.0,0.2,0.05,0.8,-NA-
127,510.70866141732284,527.0,0.2,0.05,0.8,-NA-
128,510.8359375,527.0,0.2,0.05,0.8,-NA-
129,510.9767441860465,529.0,0.2,0.05,0.8,-NA-
130,511.0846153846154,525.0,0.2,0.05,0.8,-NA-
131,511.206106870229,527.0,0.2,0.05,0.8,-NA-
132,511.34090909090907,529.0,0.2,0.05,0.8,-NA-
133,511.45864661654133,527.0,0.2,0.05,0.8,-NA-
134,511.57462686567163,527.0,0.2,0.05,0.8,-NA-
135,511.7037037037037,529.0,0.2,0.05,0.8,-NA-
136,511.83088235294116,529.0,0.2,0.05,0.8,-NA-
137,511.94160583941607,527.0,0.2,0.05,0.8,-NA-
138,512.036231884058,525.0,0.2,0.05,0.8,-NA-
139,504.84892086330933,-487.0,0.2,0.05,0.8,-NA-
140,505.02142857142854,529.0,0.2,0.05,0.8,-NA-
141,505.1489361702128,523.0,0.2,0.05,0.8,-NA-
142,505.3169014084507,529.0,0.2,0.05,0.8,-NA-
143,505.4825174825175,529.0,0.2,0.05,0.8,-NA-
144,505.6458333333333,529.0,0.2,0.05,0.8,-NA-
145,505.80689655172415,529.0,0.2,0.05,0.8,-NA-
146,505.93835616438355,525.0,0.2,0.05,0.8,-NA-
147,506.0816326530612,527.0,0.2,0.05,0.8,-NA-
148,506.2364864864865,529.0,0.2,0.05,0.8,-NA-
149,499.5302013422819,-493.0,0.2,0.05,0.8,-NA-
150,499.7266666666667,529.0,0.2,0.05,0.8,-NA-
151,499.9139072847682,528.0,0.2,0.05,0.8,-NA-
152,500.0921052631579,527.0,0.2,0.05,0.8,-NA-
153,500.26797385620915,527.0,0.2,0.05,0.8,-NA-
154,500.45454545454544,529.0,0.2,0.05,0.8,-NA-
155,500.63870967741934,529.0,0.2,0.05,0.8,-NA-
156,500.79487179487177,525.0,0.2,0.05,0.8,-NA-
157,500.9490445859873,525.0,0.2,0.05,0.8,-NA-
158,501.11392405063293,527.0,0.2,0.05,0.8,-NA-
159,501.2641509433962,525.0,0.2,0.05,0.8,-NA-
160,501.425,527.0,0.2,0.05,0.8,-NA-
161,501.59627329192546,529.0,0.2,0.05,0.8,-NA-
162,501.75308641975306,527.0,0.2,0.05,0.8,-NA-
163,501.8957055214724,525.0,0.2,0.05,0.8,-NA-
164,502.0609756097561,529.0,0.2,0.05,0.8,-NA-
165,502.2121212121212,527.0,0.2,0.05,0.8,-NA-
166,502.34939759036143,525.0,0.2,0.05,0.8,-NA-
167,496.4011976047904,-491.0,0.2,0.05,0.8,-NA-
168,496.5833333333333,527.0,0.2,0.05,0.8,-NA-
169,496.76331360946745,527.0,0.2,0.05,0.8,-NA-
170,496.94117647058823,527.0,0.2,0.05,0.8,-NA-
171,497.1169590643275,527.0,0.2,0.05,0.8,-NA-
172,497.27906976744185,525.0,0.2,0.05,0.8,-NA-
173,497.46242774566474,529.0,0.2,0.05,0.8,-NA-
174,497.61494252873564,524.0,0.2,0.05,0.8,-NA-
175,497.76,523.0,0.2,0.05,0.8,-NA-
176,497.9375,529.0,0.2,0.05,0.8,-NA-
177,498.11299435028246,529.0,0.2,0.05,0.8,-NA-
178,498.2752808988764,527.0,0.2,0.05,0.8,-NA-
179,498.43575418994413,527.0,0.2,0.05,0.8,-NA-
180,498.60555555555555,529.0,0.2,0.05,0.8,-NA-
181,498.76243093922653,527.0,0.2,0.05,0.8,-NA-
182,498.92857142857144,529.0,0.2,0.05,0.8,-NA-
183,499.0601092896175,523.0,0.2,0.05,0.8,-NA-
184,499.20108695652175,525.0,0.2,0.05,0.8,-NA-
185,499.3621621621622,529.0,0.2,0.05,0.8,-NA-
186,499.52150537634407,529.0,0.2,0.05,0.8,-NA-
187,499.6577540106952,525.0,0.2,0.05,0.8,-NA-
188,499.81382978723406,529.0,0.2,0.05,0.8,-NA-
189,499.95767195767195,527.0,0.2,0.05,0.8,-NA-
190,500.11052631578946,529.0,0.2,0.05,0.8,-NA-
191,500.26178010471205,529.0,0.2,0.05,0.8,-NA-
192,500.4010416666667,527.0,0.2,0.05,0.8,-NA-
193,500.53367875647666,526.0,0.2,0.05,0.8,-NA-
194,500.64948453608247,523.0,0.2,0.05,0.8,-NA-
195,500.77435897435896,525.0,0.2,0.05,0.8,-NA-
196,500.9183673469388,529.0,0.2,0.05,0.8,-NA-
197,501.0406091370558,525.0,0.2,0.05,0.8,-NA-
198,501.1515151515151,523.0,0.2,0.05,0.8,-NA-
199,501.29145728643215,529.0,0.2,0.05,0.8,-NA-
200,501.43,529.0,0.2,0.05,0.8,-NA-
201,501.547263681592,525.0,0.2,0.05,0.8,-NA-
202,501.6831683168317,529.0,0.2,0.05,0.8,-NA-
203,501.807881773399,527.0,0.2,0.05,0.8,-NA-
204,496.95098039215685,-489.0,0.2,0.05,0.8,-NA-
205,497.0780487804878,523.0,0.2,0.05,0.8,-NA-
206,497.2330097087379,529.0,0.2,0.05,0.8,-NA-
207,497.3864734299517,529.0,0.2,0.05,0.8,-NA-
208,497.52884615384613,527.0,0.2,0.05,0.8,-NA-
209,497.66028708133973,525.0,0.2,0.05,0.8,-NA-
210,497.8,527.0,0.2,0.05,0.8,-NA-
211,497.9478672985782,529.0,0.2,0.05,0.8,-NA-
212,498.08490566037733,527.0,0.2,0.05,0.8,-NA-
213,498.2300469483568,529.0,0.2,0.05,0.8,-NA-
214,493.6214953271028,-488.0,0.2,0.05,0.8,-NA-
215,493.7860465116279,529.0,0.2,0.05,0.8,-NA-
216,493.93981481481484,527.0,0.2,0.05,0.8,-NA-
217,494.0967741935484,528.0,0.2,0.05,0.8,-NA-
218,494.25688073394497,529.0,0.2,0.05,0.8,-NA-
219,494.37899543378995,521.0,0.2,0.05,0.8,-NA-
220,494.5090909090909,523.0,0.2,0.05,0.8,-NA-
221,494.6470588235294,525.0,0.2,0.05,0.8,-NA-
222,494.7927927927928,527.0,0.2,0.05,0.8,-NA-
223,494.9372197309417,527.0,0.2,0.05,0.8,-NA-
224,495.08035714285717,527.0,0.2,0.05,0.8,-NA-
225,495.2311111111111,529.0,0.2,0.05,0.8,-NA-
226,495.3628318584071,525.0,0.2,0.05,0.8,-NA-
227,495.5022026431718,527.0,0.2,0.05,0.8,-NA-
228,495.64912280701753,529.0,0.2,0.05,0.8,-NA-
229,495.7860262008734,527.0,0.2,0.05,0.8,-NA-
230,495.9304347826087,529.0,0.2,0.05,0.8,-NA-
231,496.06493506493507,527.0,0.2,0.05,0.8,-NA-
232,496.19827586206895,527.0,0.2,0.05,0.8,-NA-
233,496.3304721030043,527.0,0.2,0.05,0.8,-NA-
234,496.4273504273504,519.0,0.2,0.05,0.8,-NA-
235,496.55744680851063,527.0,0.2,0.05,0.8,-NA-
236,496.6864406779661,527.0,0.2,0.05,0.8,-NA-
237,496.8143459915612,527.0,0.2,0.05,0.8,-NA-
238,496.94117647058823,527.0,0.2,0.05,0.8,-NA-
239,497.06694560669456,527.0,0.2,0.05,0.8,-NA-
240,497.19166666666666,527.0,0.2,0.05,0.8,-NA-
241,497.3070539419087,525.0,0.2,0.05,0.8,-NA-
242,497.4297520661157,527.0,0.2,0.05,0.8,-NA-
243,497.559670781893,529.0,0.2,0.05,0.8,-NA-
244,497.672131147541,525.0,0.2,0.05,0.8,-NA-
245,497.7755102040816,523.0,0.2,0.05,0.8,-NA-
246,497.8943089430894,527.0,0.2,0.05,0.8,-NA-
247,498.02024291497975,529.0,0.2,0.05,0.8,-NA-
248,498.1290322580645,525.0,0.2,0.05,0.8,-NA-
249,498.2409638554217,526.0,0.2,0.05,0.8,-NA-
250,498.356,527.0,0.2,0.05,0.8,-NA-
251,498.47011952191235,527.0,0.2,0.05,0.8,-NA-
252,498.5833333333333,527.0,0.2,0.05,0.8,-NA-
253,498.699604743083,528.0,0.2,0.05,0.8,-NA-
254,498.81102362204723,527.0,0.2,0.05,0.8,-NA-
255,498.9294117647059,529.0,0.2,0.05,0.8,-NA-
256,495.1015625,-481.0,0.2,0.05,0.8,-NA-
257,495.23346303501944,529.0,0.2,0.05,0.8,-NA-
258,495.3565891472868,527.0,0.2,0.05,0.8,-NA-
259,495.4787644787645,527.0,0.2,0.05,0.8,-NA-
260,495.6,527.0,0.2,0.05,0.8,-NA-
261,495.72796934865903,529.0,0.2,0.05,0.8,-NA-
262,495.8473282442748,527.0,0.2,0.05,0.8,-NA-
263,495.95817490494295,525.0,0.2,0.05,0.8,-NA-
264,496.0833333333333,529.0,0.2,0.05,0.8,-NA-
265,496.2,527.0,0.2,0.05,0.8,-NA-
266,492.4924812030075,-490.0,0.2,0.05,0.8,-NA-
267,492.6292134831461,529.0,0.2,0.05,0.8,-NA-
268,492.75,525.0,0.2,0.05,0.8,-NA-
269,492.87732342007433,527.0,0.2,0.05,0.8,-NA-
270,489.2481481481482,-487.0,0.2,0.05,0.8,-NA-
271,489.3948339483395,529.0,0.2,0.05,0.8,-NA-
272,489.5404411764706,529.0,0.2,0.05,0.8,-NA-
273,489.68498168498166,529.0,0.2,0.05,0.8,-NA-
274,489.8284671532847,529.0,0.2,0.05,0.8,-NA-
275,489.9709090909091,529.0,0.2,0.05,0.8,-NA-
276,490.1050724637681,527.0,0.2,0.05,0.8,-NA-
277,490.24548736462094,529.0,0.2,0.05,0.8,-NA-
278,490.3848920863309,529.0,0.2,0.05,0.8,-NA-
279,490.52329749103944,529.0,0.2,0.05,0.8,-NA-
280,490.63928571428573,523.0,0.2,0.05,0.8,-NA-
281,490.7758007117438,529.0,0.2,0.05,0.8,-NA-
282,490.90425531914894,527.0,0.2,0.05,0.8,-NA-
283,491.0388692579505,529.0,0.2,0.05,0.8,-NA-
284,491.15845070422534,525.0,0.2,0.05,0.8,-NA-
285,491.2842105263158,527.0,0.2,0.05,0.8,-NA-
286,491.40909090909093,527.0,0.2,0.05,0.8,-NA-
287,491.5331010452962,527.0,0.2,0.05,0.8,-NA-
288,491.66319444444446,529.0,0.2,0.05,0.8,-NA-
289,491.7854671280277,527.0,0.2,0.05,0.8,-NA-
290,491.91379310344826,529.0,0.2,0.05,0.8,-NA-
291,492.0412371134021,529.0,0.2,0.05,0.8,-NA-
292,492.1678082191781,529.0,0.2,0.05,0.8,-NA-
293,492.2866894197952,527.0,0.2,0.05,0.8,-NA-
294,492.3979591836735,525.0,0.2,0.05,0.8,-NA-
295,492.5220338983051,529.0,0.2,0.05,0.8,-NA-
296,492.6317567567568,525.0,0.2,0.05,0.8,-NA-
297,492.7542087542088,529.0,0.2,0.05,0.8,-NA-
298,492.8758389261745,529.0,0.2,0.05,0.8,-NA-
299,492.9966555183947,529.0,0.2,0.05,0.8,-NA-
300,493.0966666666667,523.0,0.2,0.05,0.8,-NA-
301,493.2093023255814,527.0,0.2,0.05,0.8,-NA-
302,493.3211920529801,527.0,0.2,0.05,0.8,-NA-
303,493.4389438943894,529.0,0.2,0.05,0.8,-NA-
304,493.55592105263156,529.0,0.2,0.05,0.8,-NA-
305,493.65901639344264,525.0,0.2,0.05,0.8,-NA-
306,493.76797385620915,527.0,0.2,0.05,0.8,-NA-
307,493.86319218241044,523.0,0.2,0.05,0.8,-NA-
308,493.9642857142857,525.0,0.2,0.05,0.8,-NA-
309,494.07766990291265,529.0,0.2,0.05,0.8,-NA-
310,494.19032258064516,529.0,0.2,0.05,0.8,-NA-
311,494.2990353697749,528.0,0.2,0.05,0.8,-NA-
312,494.40384615384613,527.0,0.2,0.05,0.8,-NA-
313,494.51437699680514,529.0,0.2,0.05,0.8,-NA-
314,494.61146496815286,525.0,0.2,0.05,0.8,-NA-
315,494.7206349206349,529.0,0.2,0.05,0.8,-NA-
316,494.82278481012656,527.0,0.2,0.05,0.8,-NA-
317,494.9305993690852,529.0,0.2,0.05,0.8,-NA-
318,495.0377358490566,529.0,0.2,0.05,0.8,-NA-
319,495.13793103448273,527.0,0.2,0.05,0.8,-NA-
320,495.24375,529.0,0.2,0.05,0.8,-NA-
321,495.34890965732086,529.0,0.2,0.05,0.8,-NA-
322,495.4378881987578,524.0,0.2,0.05,0.8,-NA-
323,495.54179566563465,529.0,0.2,0.05,0.8,-NA-
324,495.63271604938274,525.0,0.2,0.05,0.8,-NA-
325,495.72923076923075,527.0,0.2,0.05,0.8,-NA-
326,495.8312883435583,529.0,0.2,0.05,0.8,-NA-
327,495.92660550458714,527.0,0.2,0.05,0.8,-NA-
328,496.015243902439,525.0,0.2,0.05,0.8,-NA-
329,496.09118541033433,521.0,0.2,0.05,0.8,-NA-
330,496.1787878787879,525.0,0.2,0.05,0.8,-NA-
331,496.26586102719034,525.0,0.2,0.05,0.8,-NA-
332,493.30120481927713,-488.0,0.2,0.05,0.8,-NA-
333,493.40840840840843,529.0,0.2,0.05,0.8,-NA-
334,493.49700598802394,523.0,0.2,0.05,0.8,-NA-
335,493.5970149253731,527.0,0.2,0.05,0.8,-NA-
336,490.6666666666667,-491.0,0.2,0.05,0.8,-NA-
337,490.78041543026706,529.0,0.2,0.05,0.8,-NA-
338,490.8757396449704,523.0,0.2,0.05,0.8,-NA-
339,487.9911504424779,-487.0,0.2,0.05,0.8,-NA-
340,488.09411764705885,523.0,0.2,0.05,0.8,-NA-
341,488.1964809384164,523.0,0.2,0.05,0.8,-NA-
342,488.29824561403507,523.0,0.2,0.05,0.8,-NA-
343,488.4110787172012,527.0,0.2,0.05,0.8,-NA-
344,488.5232558139535,527.0,0.2,0.05,0.8,-NA-
345,488.64057971014495,529.0,0.2,0.05,0.8,-NA-
346,488.757225433526,529.0,0.2,0.05,0.8,-NA-
347,488.87319884726224,529.0,0.2,0.05,0.8,-NA-
348,488.98275862068965,527.0,0.2,0.05,0.8,-NA-
349,489.0916905444126,527.0,0.2,0.05,0.8,-NA-
350,489.19428571428574,525.0,0.2,0.05,0.8,-NA-
351,489.3076923076923,529.0,0.2,0.05,0.8,-NA-
352,489.41477272727275,527.0,0.2,0.05,0.8,-NA-
353,489.5155807365439,525.0,0.2,0.05,0.8,-NA-
354,489.6073446327684,522.0,0.2,0.05,0.8,-NA-
355,489.712676056338,527.0,0.2,0.05,0.8,-NA-
356,489.8061797752809,523.0,0.2,0.05,0.8,-NA-
357,489.91036414565826,527.0,0.2,0.05,0.8,-NA-
358,490.0139664804469,527.0,0.2,0.05,0.8,-NA-
359,490.1225626740947,529.0,0.2,0.05,0.8,-NA-
360,490.23055555555555,529.0,0.2,0.05,0.8,-NA-
361,487.5263157894737,-486.0,0.2,0.05,0.8,-NA-
362,487.6353591160221,527.0,0.2,0.05,0.8,-NA-
363,487.73829201101927,525.0,0.2,0.05,0.8,-NA-
364,487.85164835164835,529.0,0.2,0.05,0.8,-NA-
365,487.958904109589,527.0,0.2,0.05,0.8,-NA-
366,488.0655737704918,527.0,0.2,0.05,0.8,-NA-
367,488.1716621253406,527.0,0.2,0.05,0.8,-NA-
368,488.2771739130435,527.0,0.2,0.05,0.8,-NA-
369,488.37669376693765,525.0,0.2,0.05,0.8,-NA-
370,488.4864864864865,529.0,0.2,0.05,0.8,-NA-
371,488.58490566037733,525.0,0.2,0.05,0.8,-NA-
372,488.6774193548387,523.0,0.2,0.05,0.8,-NA-
373,488.78552278820376,529.0,0.2,0.05,0.8,-NA-
374,488.88770053475935,527.0,0.2,0.05,0.8,-NA-
375,488.9893333333333,527.0,0.2,0.05,0.8,-NA-
376,489.09574468085106,529.0,0.2,0.05,0.8,-NA-
377,489.19098143236073,525.0,0.2,0.05,0.8,-NA-
378,489.2962962962963,529.0,0.2,0.05,0.8,-NA-
379,489.401055408971,529.0,0.2,0.05,0.8,-NA-
380,489.5052631578947,529.0,0.2,0.05,0.8,-NA-
381,489.59842519685037,525.0,0.2,0.05,0.8,-NA-
382,489.70157068062827,529.0,0.2,0.05,0.8,-NA-
383,489.78851174934726,523.0,0.2,0.05,0.8,-NA-
384,489.890625,529.0,0.2,0.05,0.8,-NA-
385,489.987012987013,527.0,0.2,0.05,0.8,-NA-
386,490.0880829015544,529.0,0.2,0.05,0.8,-NA-
