NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
105,498.1047619047619,525.0,0.2,0.05,0.8,-NA-
106,498.35849056603774,525.0,0.2,0.05,0.8,-NA-
107,498.6261682242991,527.0,0.2,0.05,0.8,-NA-
108,498.9074074074074,529.0,0.2,0.05,0.8,-NA-
109,499.1834862385321,529.0,0.2,0.05,0.8,-NA-
110,499.45454545454544,529.0,0.2,0.05,0.8,-NA-
111,499.7027027027027,527.0,0.2,0.05,0.8,-NA-
112,499.92857142857144,525.0,0.2,0.05,0.8,-NA-
113,500.16814159292034,527.0,0.2,0.05,0.8,-NA-
114,500.42105263157896,529.0,0.2,0.05,0.8,-NA-
115,500.6521739130435,527.0,0.2,0.05,0.8,-NA-
116,500.8965517241379,529.0,0.2,0.05,0.8,-NA-
117,501.13675213675214,529.0,0.2,0.05,0.8,-NA-
118,501.3728813559322,529.0,0.2,0.05,0.8,-NA-
119,501.60504201680675,529.0,0.2,0.05,0.8,-NA-
120,501.81666666666666,527.0,0.2,0.05,0.8,-NA-
121,502.02479338842977,527.0,0.2,0.05,0.8,-NA-
122,502.21311475409834,525.0,0.2,0.05,0.8,-NA-
123,502.4146341463415,527.0,0.2,0.05,0.8,-NA-
124,502.61290322580646,527.0,0.2,0.05,0.8,-NA-
125,502.808,527.0,0.2,0.05,0.8,-NA-
126,502.9920634920635,526.0,0.2,0.05,0.8,-NA-
127,503.1653543307087,525.0,0.2,0.05,0.8,-NA-
128,495.484375,-480.0,0.2,0.05,0.8,-NA-
129,495.71317829457365,525.0,0.2,0.05,0.8,-NA-
130,495.96923076923076,529.0,0.2,0.05,0.8,-NA-
131,496.206106870229,527.0,0.2,0.05,0.8,-NA-
132,496.45454545454544,529.0,0.2,0.05,0.8,-NA-
133,496.65413533834584,523.0,0.2,0.05,0.8,-NA-
134,489.35074626865674,-482.0,0.2,0.05,0.8,-NA-
135,489.6296296296296,527.0,0.2,0.05,0.8,-NA-
136,489.8897058823529,525.0,0.2,0.05,0.8,-NA-
137,482.7810218978102,-484.0,0.2,0.05,0.8,-NA-
138,483.1159420289855,529.0,0.2,0.05,0.8,-NA-
139,483.40287769784175,523.0,0.2,0.05,0.8,-NA-
140,483.7142857142857,527.0,0.2,0.05,0.8,-NA-
141,484.0354609929078,529.0,0.2,0.05,0.8,-NA-
142,484.3380281690141,527.0,0.2,0.05,0.8,-NA-
143,484.65034965034965,529.0,0.2,0.05,0.8,-NA-
144,484.9583333333333,529.0,0.2,0.05,0.8,-NA-
145,485.26206896551724,529.0,0.2,0.05,0.8,-NA-
146,485.54794520547944,527.0,0.2,0.05,0.8,-NA-
147,485.81632653061223,525.0,0.2,0.05,0.8,-NA-
148,486.1081081081081,529.0,0.2,0.05,0.8,-NA-
149,486.3691275167785,525.0,0.2,0.05,0.8,-NA-
150,486.64,527.0,0.2,0.05,0.8,-NA-
151,486.89403973509934,525.0,0.2,0.05,0.8,-NA-
152,487.125,522.0,0.2,0.05,0.8,-NA-
153,480.7450980392157,-489.0,0.2,0.05,0.8,-NA-
154,481.04545454545456,527.0,0.2,0.05,0.8,-NA-
155,481.34193548387094,527.0,0.2,0.05,0.8,-NA-
156,481.63461538461536,527.0,0.2,0.05,0.8,-NA-
157,481.9299363057325,528.0,0.2,0.05,0.8,-NA-
158,482.2025316455696,525.0,0.2,0.05,0.8,-NA-
159,482.49685534591197,529.0,0.2,0.05,0.8,-NA-
160,482.7625,525.0,0.2,0.05,0.8,-NA-
161,483.0496894409938,529.0,0.2,0.05,0.8,-NA-
162,483.320987654321,527.0,0.2,0.05,0.8,-NA-
163,483.60122699386505,529.0,0.2,0.05,0.8,-NA-
164,483.8780487804878,529.0,0.2,0.05,0.8,-NA-
165,484.1393939393939,527.0,0.2,0.05,0.8,-NA-
166,484.3975903614458,527.0,0.2,0.05,0.8,-NA-
167,484.6047904191617,519.0,0.2,0.05,0.8,-NA-
168,484.85714285714283,527.0,0.2,0.05,0.8,-NA-
169,485.07100591715977,521.0,0.2,0.05,0.8,-NA-
170,485.3058823529412,525.0,0.2,0.05,0.8,-NA-
171,485.56140350877195,529.0,0.2,0.05,0.8,-NA-
172,485.80232558139534,527.0,0.2,0.05,0.8,-NA-
173,486.01734104046244,523.0,0.2,0.05,0.8,-NA-
174,480.4712643678161,-479.0,0.2,0.05,0.8,-NA-
175,480.74857142857144,529.0,0.2,0.05,0.8,-NA-
176,481.02272727272725,529.0,0.2,0.05,0.8,-NA-
177,481.28248587570624,527.0,0.2,0.05,0.8,-NA-
178,481.55056179775283,529.0,0.2,0.05,0.8,-NA-
179,481.81564245810057,529.0,0.2,0.05,0.8,-NA-
180,482.06666666666666,527.0,0.2,0.05,0.8,-NA-
181,482.31491712707185,527.0,0.2,0.05,0.8,-NA-
182,482.57142857142856,529.0,0.2,0.05,0.8,-NA-
183,477.30054644808746,-482.0,0.2,0.05,0.8,-NA-
184,477.58152173913044,529.0,0.2,0.05,0.8,-NA-
185,477.84864864864863,527.0,0.2,0.05,0.8,-NA-
186,478.1236559139785,529.0,0.2,0.05,0.8,-NA-
187,478.3903743315508,528.0,0.2,0.05,0.8,-NA-
188,478.63829787234044,525.0,0.2,0.05,0.8,-NA-
189,478.8941798941799,527.0,0.2,0.05,0.8,-NA-
190,479.1578947368421,529.0,0.2,0.05,0.8,-NA-
191,479.37696335078533,521.0,0.2,0.05,0.8,-NA-
192,479.6354166666667,529.0,0.2,0.05,0.8,-NA-
193,479.8756476683938,526.0,0.2,0.05,0.8,-NA-
194,480.1185567010309,527.0,0.2,0.05,0.8,-NA-
195,480.35897435897436,527.0,0.2,0.05,0.8,-NA-
196,480.60714285714283,529.0,0.2,0.05,0.8,-NA-
197,480.83248730964465,525.0,0.2,0.05,0.8,-NA-
198,481.06060606060606,526.0,0.2,0.05,0.8,-NA-
199,481.2814070351759,525.0,0.2,0.05,0.8,-NA-
200,481.51,527.0,0.2,0.05,0.8,-NA-
201,476.7213930348259,-481.0,0.2,0.05,0.8,-NA-
202,476.980198019802,529.0,0.2,0.05,0.8,-NA-
203,477.2266009852217,527.0,0.2,0.05,0.8,-NA-
204,477.48039215686276,529.0,0.2,0.05,0.8,-NA-
205,477.7219512195122,527.0,0.2,0.05,0.8,-NA-
206,477.90291262135923,515.0,0.2,0.05,0.8,-NA-
207,478.1497584541063,529.0,0.2,0.05,0.8,-NA-
208,478.3942307692308,529.0,0.2,0.05,0.8,-NA-
209,478.60765550239233,523.0,0.2,0.05,0.8,-NA-
210,478.83809523809526,527.0,0.2,0.05,0.8,-NA-
211,479.06161137440756,526.0,0.2,0.05,0.8,-NA-
212,479.29716981132077,529.0,0.2,0.05,0.8,-NA-
213,479.53051643192487,529.0,0.2,0.05,0.8,-NA-
214,479.75233644859816,527.0,0.2,0.05,0.8,-NA-
215,479.9720930232558,527.0,0.2,0.05,0.8,-NA-
216,480.1990740740741,529.0,0.2,0.05,0.8,-NA-
217,480.40552995391704,525.0,0.2,0.05,0.8,-NA-
218,480.61009174311926,525.0,0.2,0.05,0.8,-NA-
219,480.82191780821915,527.0,0.2,0.05,0.8,-NA-
220,476.45454545454544,-480.0,0.2,0.05,0.8,-NA-
221,472.08597285067873,-489.0,0.2,0.05,0.8,-NA-
222,472.3243243243243,525.0,0.2,0.05,0.8,-NA-
223,472.57847533632287,529.0,0.2,0.05,0.8,-NA-
224,472.82142857142856,527.0,0.2,0.05,0.8,-NA-
225,473.0711111111111,529.0,0.2,0.05,0.8,-NA-
226,473.3185840707965,529.0,0.2,0.05,0.8,-NA-
227,473.56387665198235,529.0,0.2,0.05,0.8,-NA-
228,473.8070175438597,529.0,0.2,0.05,0.8,-NA-
229,474.03930131004364,527.0,0.2,0.05,0.8,-NA-
230,469.88695652173914,-481.0,0.2,0.05,0.8,-NA-
231,470.13419913419915,527.0,0.2,0.05,0.8,-NA-
232,470.37068965517244,525.0,0.2,0.05,0.8,-NA-
233,470.6223175965665,529.0,0.2,0.05,0.8,-NA-
234,470.86324786324786,527.0,0.2,0.05,0.8,-NA-
235,471.0936170212766,525.0,0.2,0.05,0.8,-NA-
236,471.33898305084745,529.0,0.2,0.05,0.8,-NA-
237,471.57383966244726,527.0,0.2,0.05,0.8,-NA-
238,471.8067226890756,527.0,0.2,0.05,0.8,-NA-
239,472.0460251046025,529.0,0.2,0.05,0.8,-NA-
240,472.28333333333336,529.0,0.2,0.05,0.8,-NA-
241,472.5103734439834,527.0,0.2,0.05,0.8,-NA-
242,472.73553719008265,527.0,0.2,0.05,0.8,-NA-
243,472.95061728395063,525.0,0.2,0.05,0.8,-NA-
244,473.172131147541,527.0,0.2,0.05,0.8,-NA-
245,473.39183673469387,527.0,0.2,0.05,0.8,-NA-
246,473.609756097561,527.0,0.2,0.05,0.8,-NA-
247,473.82591093117406,527.0,0.2,0.05,0.8,-NA-
248,474.0483870967742,529.0,0.2,0.05,0.8,-NA-
249,474.26506024096386,528.0,0.2,0.05,0.8,-NA-
250,474.484,529.0,0.2,0.05,0.8,-NA-
251,474.68525896414343,525.0,0.2,0.05,0.8,-NA-
252,474.89285714285717,527.0,0.2,0.05,0.8,-NA-
253,475.10671936758894,529.0,0.2,0.05,0.8,-NA-
254,475.31102362204723,527.0,0.2,0.05,0.8,-NA-
255,475.50588235294117,525.0,0.2,0.05,0.8,-NA-
256,475.71484375,529.0,0.2,0.05,0.8,-NA-
257,475.92217898832683,529.0,0.2,0.05,0.8,-NA-
258,476.1279069767442,529.0,0.2,0.05,0.8,-NA-
259,476.3243243243243,527.0,0.2,0.05,0.8,-NA-
260,476.5269230769231,529.0,0.2,0.05,0.8,-NA-
261,476.72796934865903,529.0,0.2,0.05,0.8,-NA-
262,476.912213740458,525.0,0.2,0.05,0.8,-NA-
263,477.1102661596958,529.0,0.2,0.05,0.8,-NA-
264,477.3030303030303,528.0,0.2,0.05,0.8,-NA-
265,477.4981132075472,529.0,0.2,0.05,0.8,-NA-
266,477.69172932330827,529.0,0.2,0.05,0.8,-NA-
267,477.8614232209738,523.0,0.2,0.05,0.8,-NA-
268,478.05223880597015,529.0,0.2,0.05,0.8,-NA-
269,478.2267657992565,525.0,0.2,0.05,0.8,-NA-
270,478.4074074074074,527.0,0.2,0.05,0.8,-NA-
271,478.58671586715866,527.0,0.2,0.05,0.8,-NA-
272,478.75735294117646,525.0,0.2,0.05,0.8,-NA-
273,478.9304029304029,526.0,0.2,0.05,0.8,-NA-
274,479.1058394160584,527.0,0.2,0.05,0.8,-NA-
275,479.28727272727275,529.0,0.2,0.05,0.8,-NA-
276,479.4673913043478,529.0,0.2,0.05,0.8,-NA-
277,479.6317689530686,525.0,0.2,0.05,0.8,-NA-
278,479.8021582733813,527.0,0.2,0.05,0.8,-NA-
279,479.97132616487454,527.0,0.2,0.05,0.8,-NA-
280,480.13214285714287,525.0,0.2,0.05,0.8,-NA-
281,480.30604982206404,529.0,0.2,0.05,0.8,-NA-
282,480.47163120567376,527.0,0.2,0.05,0.8,-NA-
283,480.63604240282683,527.0,0.2,0.05,0.8,-NA-
284,480.806338028169,529.0,0.2,0.05,0.8,-NA-
285,480.9684210526316,527.0,0.2,0.05,0.8,-NA-
286,481.1363636363636,529.0,0.2,0.05,0.8,-NA-
287,481.2891986062718,525.0,0.2,0.05,0.8,-NA-
288,481.44097222222223,525.0,0.2,0.05,0.8,-NA-
289,481.60553633217995,529.0,0.2,0.05,0.8,-NA-
290,481.7689655172414,529.0,0.2,0.05,0.8,-NA-
291,481.93127147766324,529.0,0.2,0.05,0.8,-NA-
292,482.08561643835617,527.0,0.2,0.05,0.8,-NA-
293,482.2457337883959,529.0,0.2,0.05,0.8,-NA-
294,482.3979591836735,527.0,0.2,0.05,0.8,-NA-
295,482.53559322033897,523.0,0.2,0.05,0.8,-NA-
296,482.68581081081084,527.0,0.2,0.05,0.8,-NA-
297,482.83501683501686,527.0,0.2,0.05,0.8,-NA-
298,482.98993288590606,529.0,0.2,0.05,0.8,-NA-
299,483.1438127090301,529.0,0.2,0.05,0.8,-NA-
300,483.29,527.0,0.2,0.05,0.8,-NA-
301,483.43521594684387,527.0,0.2,0.05,0.8,-NA-
302,483.5794701986755,527.0,0.2,0.05,0.8,-NA-
303,483.7293729372937,529.0,0.2,0.05,0.8,-NA-
304,483.875,528.0,0.2,0.05,0.8,-NA-
305,484.02295081967213,529.0,0.2,0.05,0.8,-NA-
306,484.16993464052285,529.0,0.2,0.05,0.8,-NA-
307,484.3159609120521,529.0,0.2,0.05,0.8,-NA-
308,484.461038961039,529.0,0.2,0.05,0.8,-NA-
309,484.6051779935275,529.0,0.2,0.05,0.8,-NA-
310,484.7483870967742,529.0,0.2,0.05,0.8,-NA-
311,484.89067524115757,529.0,0.2,0.05,0.8,-NA-
