NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
108,460.19444444444446,525.0,0.2,0.05,0.8,0.5
109,460.7889908256881,525.0,0.2,0.05,0.8,0.5
110,461.3909090909091,527.0,0.2,0.05,0.8,0.5
111,461.98198198198196,527.0,0.2,0.05,0.8,0.5
112,462.54464285714283,525.0,0.2,0.05,0.8,0.5
113,463.11504424778764,527.0,0.2,0.05,0.8,0.5
114,463.67543859649123,527.0,0.2,0.05,0.8,0.5
115,464.24347826086955,529.0,0.2,0.05,0.8,0.5
116,464.76724137931035,525.0,0.2,0.05,0.8,0.5
117,465.2649572649573,523.0,0.2,0.05,0.8,0.5
118,465.7881355932203,527.0,0.2,0.05,0.8,0.5
119,466.30252100840335,527.0,0.2,0.05,0.8,0.5
120,466.775,523.0,0.2,0.05,0.8,0.5
121,467.2396694214876,523.0,0.2,0.05,0.8,0.5
122,467.7295081967213,527.0,0.2,0.05,0.8,0.5
123,468.2276422764228,529.0,0.2,0.05,0.8,0.5
124,468.7016129032258,527.0,0.2,0.05,0.8,0.5
125,469.168,527.0,0.2,0.05,0.8,0.5
126,469.64285714285717,529.0,0.2,0.05,0.8,0.5
127,470.0787401574803,525.0,0.2,0.05,0.8,0.5
128,470.5234375,527.0,0.2,0.05,0.8,0.5
129,470.94573643410854,525.0,0.2,0.05,0.8,0.5
130,471.39230769230767,529.0,0.2,0.05,0.8,0.5
131,471.8167938931298,527.0,0.2,0.05,0.8,0.5
132,472.25,529.0,0.2,0.05,0.8,0.5
133,472.63157894736844,523.0,0.2,0.05,0.8,0.5
134,473.0223880597015,525.0,0.2,0.05,0.8,0.5
135,473.3777777777778,521.0,0.2,0.05,0.8,0.5
136,473.77941176470586,528.0,0.2,0.05,0.8,0.5
137,474.1824817518248,529.0,0.2,0.05,0.8,0.5
138,474.5652173913044,527.0,0.2,0.05,0.8,0.5
139,474.9568345323741,529.0,0.2,0.05,0.8,0.5
140,475.3285714285714,527.0,0.2,0.05,0.8,0.5
141,475.709219858156,529.0,0.2,0.05,0.8,0.5
142,476.056338028169,525.0,0.2,0.05,0.8,0.5
143,476.42657342657344,529.0,0.2,0.05,0.8,0.5
144,476.7638888888889,525.0,0.2,0.05,0.8,0.5
145,477.0827586206897,523.0,0.2,0.05,0.8,0.5
146,477.43835616438355,529.0,0.2,0.05,0.8,0.5
147,477.76190476190476,525.0,0.2,0.05,0.8,0.5
148,478.1081081081081,529.0,0.2,0.05,0.8,0.5
149,478.43624161073825,527.0,0.2,0.05,0.8,0.5
150,478.7733333333333,529.0,0.2,0.05,0.8,0.5
151,479.0927152317881,527.0,0.2,0.05,0.8,0.5
152,479.4078947368421,527.0,0.2,0.05,0.8,0.5
153,479.70588235294116,525.0,0.2,0.05,0.8,0.5
154,479.97402597402595,521.0,0.2,0.05,0.8,0.5
155,480.2774193548387,527.0,0.2,0.05,0.8,0.5
156,480.5769230769231,527.0,0.2,0.05,0.8,0.5
