NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
104,86.42307692307692,-512.0,0.2,0.05,0.8,-NA-
105,90.35238095238095,499.0,0.2,0.05,0.8,-NA-
106,84.74528301886792,-504.0,0.2,0.05,0.8,-NA-
107,88.69158878504673,507.0,0.2,0.05,0.8,-NA-
108,92.45370370370371,495.0,0.2,0.05,0.8,-NA-
109,96.14678899082568,495.0,0.2,0.05,0.8,-NA-
110,99.88181818181818,507.0,0.2,0.05,0.8,-NA-
111,94.36936936936937,-512.0,0.2,0.05,0.8,-NA-
112,88.96428571428571,-511.0,0.2,0.05,0.8,-NA-
113,83.69911504424779,-506.0,0.2,0.05,0.8,-NA-
114,87.34210526315789,499.0,0.2,0.05,0.8,-NA-
115,82.2,-504.0,0.2,0.05,0.8,-NA-
116,85.86206896551724,507.0,0.2,0.05,0.8,-NA-
117,89.38461538461539,498.0,0.2,0.05,0.8,-NA-
118,92.85593220338983,499.0,0.2,0.05,0.8,-NA-
119,96.33613445378151,507.0,0.2,0.05,0.8,-NA-
120,91.29166666666667,-509.0,0.2,0.05,0.8,-NA-
121,94.72727272727273,507.0,0.2,0.05,0.8,-NA-
122,89.81967213114754,-504.0,0.2,0.05,0.8,-NA-
123,93.21138211382114,507.0,0.2,0.05,0.8,-NA-
124,96.54838709677419,507.0,0.2,0.05,0.8,-NA-
125,91.672,-513.0,0.2,0.05,0.8,-NA-
126,94.96825396825396,507.0,0.2,0.05,0.8,-NA-
127,90.25196850393701,-504.0,0.2,0.05,0.8,-NA-
128,85.609375,-504.0,0.2,0.05,0.8,-NA-
129,88.86821705426357,506.0,0.2,0.05,0.8,-NA-
130,84.3076923076923,-504.0,0.2,0.05,0.8,-NA-
131,79.81679389312977,-504.0,0.2,0.05,0.8,-NA-
132,75.39393939393939,-504.0,0.2,0.05,0.8,-NA-
133,78.56390977443608,497.0,0.2,0.05,0.8,-NA-
134,81.74626865671642,505.0,0.2,0.05,0.8,-NA-
135,84.8962962962963,507.0,0.2,0.05,0.8,-NA-
136,80.56617647058823,-504.0,0.2,0.05,0.8,-NA-
137,76.2992700729927,-504.0,0.2,0.05,0.8,-NA-
138,79.39855072463769,504.0,0.2,0.05,0.8,-NA-
139,75.20143884892086,-504.0,0.2,0.05,0.8,-NA-
140,78.28571428571429,507.0,0.2,0.05,0.8,-NA-
141,74.09929078014184,-512.0,0.2,0.05,0.8,-NA-
142,70.02816901408451,-504.0,0.2,0.05,0.8,-NA-
143,73.0,495.0,0.2,0.05,0.8,-NA-
144,68.99305555555556,-504.0,0.2,0.05,0.8,-NA-
145,65.04137931034482,-504.0,0.2,0.05,0.8,-NA-
146,61.14383561643836,-504.0,0.2,0.05,0.8,-NA-
147,57.29931972789116,-504.0,0.2,0.05,0.8,-NA-
148,60.25675675675676,495.0,0.2,0.05,0.8,-NA-
149,56.40939597315436,-513.0,0.2,0.05,0.8,-NA-
150,59.406666666666666,506.0,0.2,0.05,0.8,-NA-
151,55.675496688741724,-504.0,0.2,0.05,0.8,-NA-
152,58.56578947368421,495.0,0.2,0.05,0.8,-NA-
153,61.44444444444444,499.0,0.2,0.05,0.8,-NA-
154,57.73376623376623,-510.0,0.2,0.05,0.8,-NA-
155,54.10967741935484,-504.0,0.2,0.05,0.8,-NA-
156,50.51282051282051,-507.0,0.2,0.05,0.8,-NA-
157,46.94904458598726,-509.0,0.2,0.05,0.8,-NA-
158,43.44303797468354,-507.0,0.2,0.05,0.8,-NA-
159,40.0,-504.0,0.2,0.05,0.8,-NA-
160,42.84375,495.0,0.2,0.05,0.8,-NA-
161,39.41614906832298,-509.0,0.2,0.05,0.8,-NA-
162,36.03086419753087,-509.0,0.2,0.05,0.8,-NA-
163,38.920245398773005,507.0,0.2,0.05,0.8,-NA-
164,35.63414634146341,-500.0,0.2,0.05,0.8,-NA-
165,38.41818181818182,495.0,0.2,0.05,0.8,-NA-
166,41.19277108433735,499.0,0.2,0.05,0.8,-NA-
167,37.92814371257485,-504.0,0.2,0.05,0.8,-NA-
168,40.720238095238095,507.0,0.2,0.05,0.8,-NA-
169,37.49704142011834,-504.0,0.2,0.05,0.8,-NA-
170,34.28235294117647,-509.0,0.2,0.05,0.8,-NA-
171,37.0,499.0,0.2,0.05,0.8,-NA-
172,39.66279069767442,495.0,0.2,0.05,0.8,-NA-
173,42.3121387283237,498.0,0.2,0.05,0.8,-NA-
174,39.172413793103445,-504.0,0.2,0.05,0.8,-NA-
175,41.83428571428571,505.0,0.2,0.05,0.8,-NA-
176,44.47727272727273,507.0,0.2,0.05,0.8,-NA-
177,41.378531073446325,-504.0,0.2,0.05,0.8,-NA-
178,38.29213483146067,-508.0,0.2,0.05,0.8,-NA-
